      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.250        0.250        0.000        0.000  1  0.1166913E-01  0.0000000E+00  0.1166913E-01  0.0000000E+00
       0.300        0.250        0.000        0.000  1  0.4675851E-01 -0.6075548E+02  0.2284330E-01 -0.4079880E-01
       0.300        0.300        0.000        0.000  1  0.3640602E-01  0.0000000E+00  0.3640602E-01  0.0000000E+00
       0.350        0.250        0.000        0.000  1  0.1391332E+00 -0.7218617E+02  0.4256434E-01 -0.1324625E+00
       0.350        0.300        0.000        0.000  1  0.6911474E-01 -0.3252172E+02  0.5827671E-01 -0.3715742E-01
       0.350        0.350        0.000        0.000  1  0.8383348E-01  0.0000000E+00  0.8383348E-01  0.0000000E+00
       0.400        0.250        0.000        0.000  1  0.2854815E+00 -0.7432348E+02  0.7713878E-01 -0.2748624E+00
       0.400        0.300        0.000        0.000  1  0.1265336E+00 -0.4268510E+02  0.9301365E-01 -0.8578577E-01
       0.400        0.350        0.000        0.000  1  0.1226099E+00 -0.1568282E+01  0.1225639E+00 -0.3355618E-02
       0.400        0.400        0.000        0.000  1  0.1683302E+00  0.0000000E+00  0.1683302E+00  0.0000000E+00
       0.450        0.250        0.000        0.000  1  0.4866575E+00 -0.7385756E+02  0.1353035E+00 -0.4674703E+00
       0.450        0.300        0.000        0.000  1  0.2168622E+00 -0.4733709E+02  0.1469640E+00 -0.1594704E+00
       0.450        0.350        0.000        0.000  1  0.1786889E+00  0.1043424E+01  0.1786593E+00  0.3253958E-02
       0.450        0.400        0.000        0.000  1  0.2371106E+00  0.1139069E+02  0.2324403E+00  0.4682886E-01
       0.450        0.450        0.000        0.000  1  0.3083617E+00  0.0000000E+00  0.3083617E+00  0.0000000E+00
       0.500        0.250        0.000        0.000  1  0.7337843E+00 -0.7226818E+02  0.2234828E+00 -0.6989240E+00
       0.500        0.300        0.000        0.000  1  0.3432798E+00 -0.4926344E+02  0.2240182E+00 -0.2601093E+00
       0.500        0.350        0.000        0.000  1  0.2531125E+00  0.1429647E+01  0.2530337E+00  0.6315017E-02
       0.500        0.400        0.000        0.000  1  0.3352793E+00  0.2139369E+02  0.3121772E+00  0.1223013E+00
       0.500        0.450        0.000        0.000  1  0.4148914E+00  0.1569314E+02  0.3994259E+00  0.1122220E+00
       0.500        0.500        0.000        0.000  1  0.5030305E+00  0.0000000E+00  0.5030305E+00  0.0000000E+00
       0.550        0.250        0.000        0.000  1  0.1007979E+01 -0.7031694E+02  0.3395044E+00 -0.9490832E+00
       0.550        0.300        0.000        0.000  1  0.4964969E+00 -0.4983405E+02  0.3202423E+00 -0.3794127E+00
       0.550        0.350        0.000        0.000  1  0.3389682E+00  0.3029991E+00  0.3389634E+00  0.1792568E-02
       0.550        0.400        0.000        0.000  1  0.4494728E+00  0.2806627E+02  0.3966166E+00  0.2114736E+00
       0.550        0.450        0.000        0.000  1  0.5572126E+00  0.2862113E+02  0.4891247E+00  0.2669136E+00
       0.550        0.500        0.000        0.000  1  0.6284389E+00  0.1733311E+02  0.5999008E+00  0.1872286E+00
       0.550        0.550        0.000        0.000  1  0.6989575E+00  0.0000000E+00  0.6989575E+00  0.0000000E+00
       0.600        0.250        0.000        0.000  1  0.1290275E+01 -0.6850558E+02  0.4727704E+00 -0.1200541E+01
       0.600        0.300        0.000        0.000  1  0.6625130E+00 -0.5021332E+02  0.4239627E+00 -0.5090964E+00
       0.600        0.350        0.000        0.000  1  0.4232149E+00 -0.1833073E+01  0.4229983E+00 -0.1353767E-01
       0.600        0.400        0.000        0.000  1  0.5561984E+00  0.3247823E+02  0.4692065E+00  0.2986670E+00
       0.600        0.450        0.000        0.000  1  0.7073103E+00  0.3812884E+02  0.5563875E+00  0.4367159E+00
       0.600        0.500        0.000        0.000  1  0.7812889E+00  0.3188485E+02  0.6634013E+00  0.4126876E+00
       0.600        0.550        0.000        0.000  1  0.7947052E+00  0.1846259E+02  0.7538022E+00  0.2516715E+00
       0.600        0.600        0.000        0.000  1  0.7898560E+00  0.0000000E+00  0.7898560E+00  0.0000000E+00
       0.650        0.250        0.000        0.000  1  0.1573386E+01 -0.6698552E+02  0.6151367E+00 -0.1448154E+01
       0.650        0.300        0.000        0.000  1  0.8356964E+00 -0.5108047E+02  0.5250081E+00 -0.6501961E+00
       0.650        0.350        0.000        0.000  1  0.4961173E+00 -0.5793527E+01  0.4935832E+00 -0.5008002E-01
       0.650        0.400        0.000        0.000  1  0.6309167E+00  0.3498581E+02  0.5169063E+00  0.3617509E+00
       0.650        0.450        0.000        0.000  1  0.8296182E+00  0.4504120E+02  0.5862066E+00  0.5870503E+00
       0.650        0.500        0.000        0.000  1  0.9244474E+00  0.4299347E+02  0.6761699E+00  0.6303945E+00
       0.650        0.550        0.000        0.000  1  0.9043778E+00  0.3454533E+02  0.7449159E+00  0.5128347E+00
       0.650        0.600        0.000        0.000  1  0.8017951E+00  0.2054820E+02  0.7507827E+00  0.2814263E+00
       0.650        0.650        0.000        0.000  1  0.6730390E+00  0.0000000E+00  0.6730390E+00  0.0000000E+00
       0.700        0.250        0.000        0.000  1  0.1864722E+01 -0.6544419E+02  0.7749404E+00 -0.1696071E+01
       0.700        0.300        0.000        0.000  1  0.1026338E+01 -0.5231160E+02  0.6274690E+00 -0.8121898E+00
       0.700        0.350        0.000        0.000  1  0.5665204E+00 -0.1275716E+02  0.5525357E+00 -0.1250986E+00
       0.700        0.400        0.000        0.000  1  0.6569088E+00  0.3465470E+02  0.5403692E+00  0.3735376E+00
       0.700        0.450        0.000        0.000  1  0.8927970E+00  0.4960769E+02  0.5785483E+00  0.6799767E+00
       0.700        0.500        0.000        0.000  1  0.1017303E+01  0.5117924E+02  0.6377332E+00  0.7925917E+00
       0.700        0.550        0.000        0.000  1  0.9909881E+00  0.4730646E+02  0.6719660E+00  0.7283674E+00
       0.700        0.600        0.000        0.000  1  0.8312365E+00  0.3991634E+02  0.6375436E+00  0.5333782E+00
       0.700        0.650        0.000        0.000  1  0.5823002E+00  0.2777534E+02  0.5152085E+00  0.2713553E+00
       0.700        0.700        0.000        0.000  1  0.3118129E+00  0.0000000E+00  0.3118129E+00  0.0000000E+00
       0.750        0.250        0.000        0.000  1  0.2182436E+01 -0.6316301E+02  0.9852685E+00 -0.1947376E+01
       0.750        0.300        0.000        0.000  1  0.1259295E+01 -0.5293077E+02  0.7590773E+00 -0.1004801E+01
       0.750        0.350        0.000        0.000  1  0.6751665E+00 -0.2230508E+02  0.6246479E+00 -0.2562515E+00
       0.750        0.400        0.000        0.000  1  0.6411630E+00  0.2863023E+02  0.5627682E+00  0.3072165E+00
       0.750        0.450        0.000        0.000  1  0.8772688E+00  0.5073581E+02  0.5552208E+00  0.6792130E+00
       0.750        0.500        0.000        0.000  1  0.1026469E+01  0.5639023E+02  0.5681850E+00  0.8548708E+00
       0.750        0.550        0.000        0.000  1  0.1013162E+01  0.5690775E+02  0.5531748E+00  0.8488194E+00
       0.750        0.600        0.000        0.000  1  0.8459747E+00  0.5648405E+02  0.4671211E+00  0.7053163E+00
       0.750        0.650        0.000        0.000  1  0.5670545E+00  0.5875344E+02  0.2941436E+00  0.4847994E+00
       0.750        0.700        0.000        0.000  1  0.2428687E+00  0.7939602E+02  0.4469263E-01  0.2387211E+00
       0.750        0.750        0.000        0.000  1  0.2638831E+00  0.1800000E+03 -0.2638831E+00  0.0000000E+00
       0.800        0.250        0.000        0.000  1  0.2553917E+01 -0.5916455E+02  0.1309072E+01 -0.2192903E+01
       0.800        0.300        0.000        0.000  1  0.1567746E+01 -0.5144761E+02  0.9770663E+00 -0.1226038E+01
       0.800        0.350        0.000        0.000  1  0.8866712E+00 -0.3045219E+02  0.7643570E+00 -0.4493820E+00
       0.800        0.400        0.000        0.000  1  0.6538185E+00  0.1307568E+02  0.6368663E+00  0.1479186E+00
       0.800        0.450        0.000        0.000  1  0.7967630E+00  0.4466530E+02  0.5666780E+00  0.5600958E+00
       0.800        0.500        0.000        0.000  1  0.9367853E+00  0.5675267E+02  0.5135966E+00  0.7834445E+00
       0.800        0.550        0.000        0.000  1  0.9374470E+00  0.6284570E+02  0.4278400E+00  0.8341222E+00
       0.800        0.600        0.000        0.000  1  0.8024042E+00  0.7028792E+02  0.2706459E+00  0.7553829E+00
       0.800        0.650        0.000        0.000  1  0.6021909E+00  0.8687475E+02  0.3283074E-01  0.6012953E+00
       0.800        0.700        0.000        0.000  1  0.4931819E+00  0.1233046E+03 -0.2708009E+00  0.4121835E+00
       0.800        0.750        0.000        0.000  1  0.6577258E+00  0.1615818E+03 -0.6240342E+00  0.2078090E+00
       0.800        0.800        0.000        0.000  1  0.1028213E+01  0.1800000E+03 -0.1028213E+01  0.0000000E+00
       0.850        0.250        0.000        0.000  1  0.3034023E+01 -0.5232400E+02  0.1854381E+01 -0.2401367E+01
       0.850        0.300        0.000        0.000  1  0.1998934E+01 -0.4651310E+02  0.1375643E+01 -0.1450290E+01
       0.850        0.350        0.000        0.000  1  0.1260406E+01 -0.3293142E+02  0.1057886E+01 -0.6852005E+00
       0.850        0.400        0.000        0.000  1  0.8487955E+00 -0.6318315E+01  0.8436398E+00 -0.9341167E-01
       0.850        0.450        0.000        0.000  1  0.7603780E+00  0.2511175E+02  0.6885085E+00  0.3226931E+00
       0.850        0.500        0.000        0.000  1  0.7830887E+00  0.4627604E+02  0.5412589E+00  0.5659211E+00
       0.850        0.550        0.000        0.000  1  0.7475595E+00  0.6204495E+02  0.3504399E+00  0.6603310E+00
       0.850        0.600        0.000        0.000  1  0.6574381E+00  0.8249237E+02  0.8589967E-01  0.6518022E+00
       0.850        0.650        0.000        0.000  1  0.6369942E+00  0.1130457E+03 -0.2493607E+00  0.5861577E+00
       0.850        0.700        0.000        0.000  1  0.7990491E+00  0.1424522E+03 -0.6335227E+00  0.4869583E+00
       0.850        0.750        0.000        0.000  1  0.1110480E+01  0.1613431E+03 -0.1052126E+01  0.3552420E+00
       0.850        0.800        0.000        0.000  1  0.1528512E+01  0.1729526E+03 -0.1516965E+01  0.1875329E+00
       0.850        0.850        0.000        0.000  1  0.2079144E+01  0.1800000E+03 -0.2079144E+01  0.0000000E+00
       0.900        0.250        0.000        0.000  1  0.3796505E+01 -0.4129245E+02  0.2852508E+01 -0.2505324E+01
       0.900        0.300        0.000        0.000  1  0.2683584E+01 -0.3723498E+02  0.2136564E+01 -0.1623797E+01
       0.900        0.350        0.000        0.000  1  0.1893779E+01 -0.2917197E+02  0.1653573E+01 -0.9230895E+00
       0.900        0.400        0.000        0.000  1  0.1364462E+01 -0.1668073E+02  0.1307045E+01 -0.3916531E+00
       0.900        0.450        0.000        0.000  1  0.1023943E+01 -0.1517652E+01  0.1023584E+01 -0.2711906E-01
       0.900        0.500        0.000        0.000  1  0.7542087E+00  0.1428069E+02  0.7309029E+00  0.1860425E+00
       0.900        0.550        0.000        0.000  1  0.4715301E+00  0.3789453E+02  0.3721046E+00  0.2896185E+00
       0.900        0.600        0.000        0.000  1  0.3471642E+00  0.1015859E+03 -0.6972369E-01  0.3400906E+00
       0.900        0.650        0.000        0.000  1  0.6828510E+00  0.1466611E+03 -0.5704771E+00  0.3752883E+00
       0.900        0.700        0.000        0.000  1  0.1164354E+01  0.1601576E+03 -0.1095226E+01  0.3952210E+00
       0.900        0.750        0.000        0.000  1  0.1672703E+01  0.1670774E+03 -0.1630338E+01  0.3740743E+00
       0.900        0.800        0.000        0.000  1  0.2218309E+01  0.1725564E+03 -0.2199615E+01  0.2873837E+00
       0.900        0.850        0.000        0.000  1  0.2875859E+01  0.1771921E+03 -0.2872407E+01  0.1408822E+00
       0.900        0.900        0.000        0.000  1  0.3804940E+01  0.1800000E+03 -0.3804940E+01  0.0000000E+00
       0.950        0.250        0.000        0.000  1  0.5611654E+01 -0.2436913E+02  0.5111690E+01 -0.2315445E+01
       0.950        0.300        0.000        0.000  1  0.4198987E+01 -0.2285189E+02  0.3869416E+01 -0.1630679E+01
       0.950        0.350        0.000        0.000  1  0.3222036E+01 -0.2023873E+02  0.3023105E+01 -0.1114607E+01
       0.950        0.400        0.000        0.000  1  0.2514334E+01 -0.1778657E+02  0.2394151E+01 -0.7680590E+00
       0.950        0.450        0.000        0.000  1  0.1937386E+01 -0.1756868E+02  0.1847018E+01 -0.5847977E+00
       0.950        0.500        0.000        0.000  1  0.1366152E+01 -0.2262089E+02  0.1261054E+01 -0.5254656E+00
       0.950        0.550        0.000        0.000  1  0.7575642E+00 -0.4220273E+02  0.5611828E+00 -0.5088983E+00
       0.950        0.600        0.000        0.000  1  0.5121697E+00 -0.1189369E+03 -0.2478114E+00 -0.4482269E+00
       0.950        0.650        0.000        0.000  1  0.1142725E+01 -0.1642140E+03 -0.1099627E+01 -0.3108732E+00
       0.950        0.700        0.000        0.000  1  0.1934626E+01 -0.1760019E+03 -0.1929917E+01 -0.1348874E+00
       0.950        0.750        0.000        0.000  1  0.2721834E+01  0.1798318E+03 -0.2721823E+01  0.7991967E-02
       0.950        0.800        0.000        0.000  1  0.3514692E+01  0.1790523E+03 -0.3514211E+01  0.5813456E-01
