      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.250        0.250        0.000        0.000  1  0.1467730E+01 -0.9001836E+02 -0.4703354E-03 -0.1467730E+01
       0.300        0.250        0.000        0.000  1  0.1724507E+01 -0.8984996E+02  0.4515867E-02 -0.1724501E+01
       0.300        0.300        0.000        0.000  1  0.2004918E+01 -0.8991656E+02  0.2919714E-02 -0.2004916E+01
       0.350        0.250        0.000        0.000  1  0.1989704E+01 -0.8930304E+02  0.2420270E-01 -0.1989557E+01
       0.350        0.300        0.000        0.000  1  0.2288760E+01 -0.8965409E+02  0.1381759E-01 -0.2288719E+01
       0.350        0.350        0.000        0.000  1  0.2584116E+01 -0.8977005E+02  0.1037100E-01 -0.2584095E+01
       0.400        0.250        0.000        0.000  1  0.2249558E+01 -0.8823238E+02  0.6938917E-01 -0.2248488E+01
       0.400        0.300        0.000        0.000  1  0.2562109E+01 -0.8887624E+02  0.5024831E-01 -0.2561616E+01
       0.400        0.350        0.000        0.000  1  0.2862593E+01 -0.8942859E+02  0.2854832E-01 -0.2862451E+01
       0.400        0.400        0.000        0.000  1  0.3139873E+01 -0.8963471E+02  0.2001781E-01 -0.3139809E+01
       0.450        0.250        0.000        0.000  1  0.2474693E+01 -0.8664153E+02  0.1449743E+00 -0.2470443E+01
       0.450        0.300        0.000        0.000  1  0.2796146E+01 -0.8752129E+02  0.1209279E+00 -0.2793530E+01
       0.450        0.350        0.000        0.000  1  0.3097140E+01 -0.8850477E+02  0.8081575E-01 -0.3096085E+01
       0.450        0.400        0.000        0.000  1  0.3370010E+01 -0.8930754E+02  0.4072786E-01 -0.3369764E+01
       0.450        0.450        0.000        0.000  1  0.3595340E+01 -0.8968327E+02  0.1987501E-01 -0.3595285E+01
       0.500        0.250        0.000        0.000  1  0.2622253E+01 -0.8486918E+02  0.2345082E+00 -0.2611746E+01
       0.500        0.300        0.000        0.000  1  0.2948009E+01 -0.8584185E+02  0.2137588E+00 -0.2940249E+01
       0.500        0.350        0.000        0.000  1  0.3246202E+01 -0.8716386E+02  0.1606211E+00 -0.3242226E+01
       0.500        0.400        0.000        0.000  1  0.3514017E+01 -0.8852011E+02  0.9075297E-01 -0.3512845E+01
       0.500        0.450        0.000        0.000  1  0.3737865E+01 -0.8960823E+02  0.2555754E-01 -0.3737777E+01
       0.500        0.500        0.000        0.000  1  0.3887523E+01 -0.9030486E+02 -0.2068517E-01 -0.3887468E+01
       0.550        0.250        0.000        0.000  1  0.2653390E+01 -0.8374040E+02  0.2893080E+00 -0.2637571E+01
       0.550        0.300        0.000        0.000  1  0.2978387E+01 -0.8454484E+02  0.2831455E+00 -0.2964898E+01
       0.550        0.350        0.000        0.000  1  0.3270828E+01 -0.8600612E+02  0.2278130E+00 -0.3262885E+01
       0.550        0.400        0.000        0.000  1  0.3533645E+01 -0.8776299E+02  0.1379301E+00 -0.3530952E+01
       0.550        0.450        0.000        0.000  1  0.3760110E+01 -0.8945587E+02  0.3570875E-01 -0.3759940E+01
       0.550        0.500        0.000        0.000  1  0.3926510E+01 -0.9085751E+02 -0.5876372E-01 -0.3926070E+01
       0.550        0.550        0.000        0.000  1  0.3998192E+01 -0.9207906E+02 -0.1450484E+00 -0.3995560E+01
       0.600        0.250        0.000        0.000  1  0.2560475E+01 -0.8457919E+02  0.2418876E+00 -0.2549024E+01
       0.600        0.300        0.000        0.000  1  0.2879092E+01 -0.8476616E+02  0.2626327E+00 -0.2867088E+01
       0.600        0.350        0.000        0.000  1  0.3162592E+01 -0.8602867E+02  0.2190322E+00 -0.3154999E+01
       0.600        0.400        0.000        0.000  1  0.3419602E+01 -0.8791051E+02  0.1246793E+00 -0.3417328E+01
       0.600        0.450        0.000        0.000  1  0.3650425E+01 -0.8997956E+02  0.1302121E-02 -0.3650425E+01
       0.600        0.500        0.000        0.000  1  0.3839061E+01 -0.9189422E+02 -0.1268976E+00 -0.3836963E+01
       0.600        0.550        0.000        0.000  1  0.3954090E+01 -0.9361481E+02 -0.2492994E+00 -0.3946223E+01
       0.600        0.600        0.000        0.000  1  0.3969159E+01 -0.9549178E+02 -0.3798604E+00 -0.3950940E+01
       0.650        0.250        0.000        0.000  1  0.2386721E+01 -0.8902181E+02  0.4074549E-01 -0.2386373E+01
       0.650        0.300        0.000        0.000  1  0.2690421E+01 -0.8784004E+02  0.1014005E+00 -0.2688510E+01
       0.650        0.350        0.000        0.000  1  0.2960328E+01 -0.8837196E+02  0.8410507E-01 -0.2959133E+01
