Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 
0	 133.5	 231.23	 -70	 126.386	 219.161	 -70.0025	 119.273	 207.093	 -70.0025	 112.159	 195.024	 -70.0025	 105.046	 182.956	 -70.0025	 97.9324	 170.887	 -70.0006	 90.8222	 158.824	 -69.5771	 83.7262	 146.785	 -68.5947	 76.6554	 134.789	 -67.0605	 69.6206	 122.854	 -64.9822	 62.632	 110.998	 -62.3668	 55.6996	 99.2363	 -59.2246	 48.8321	 87.5851	 -55.571	 42.0372	 76.057	 -51.4242	 35.322	 64.6642	 -46.8006	 28.6936	 53.4185	 -41.7143	 22.1578	 42.3302	 -36.1819	 15.719	 31.4064	 -30.2244	 9.38061	 20.6528	 -23.863	 3.14584	 10.0751	 -17.1156	 -2.98258	 -0.322232	 -10	 375612	 375611	 375611	 375610	 375610	 375780	 376533	 377880	 379814	 382326	 385409	 389050	 393227	 397921	 403118	 408802	 414954	 421550	 428567	 435988	 
0.2	 133.5	 231.23	 -70	 126.387	 219.163	 -70.0025	 119.275	 207.096	 -70.0025	 112.162	 195.029	 -70.0025	 105.05	 182.962	 -70.0025	 97.9381	 170.897	 -70.0008	 90.8298	 158.837	 -69.5787	 83.7361	 146.802	 -68.5984	 76.6679	 134.81	 -67.067	 69.6359	 122.88	 -64.9911	 62.6502	 111.028	 -62.379	 55.7208	 99.2721	 -59.2409	 48.8561	 87.6258	 -55.5921	 42.0639	 76.1022	 -51.4516	 35.3513	 64.7139	 -46.834	 28.7257	 53.473	 -41.7534	 22.1925	 42.389	 -36.2275	 15.756	 31.469	 -30.2777	 9.41993	 20.7189	 -23.9244	 3.27524	 10.1386	 -17.1143	 1.5	 2.598	 -10	 315324	 306595	 289831	 266456	 238595	 208994	 180855	 156371	 137029	 123232	 114424	 109486	 107205	 106604	 107070	 108288	 110116	 112495	 115416	 0	 
0.3	 133.5	 231.23	 -70	 126.395	 219.176	 -70.0025	 119.29	 207.122	 -70.0025	 112.185	 195.067	 -70.0025	 105.078	 183.011	 -70.0025	 97.9716	 170.954	 -70.0018	 90.8668	 158.9	 -69.6209	 83.7761	 146.87	 -68.6471	 76.7099	 134.882	 -67.1227	 69.6793	 122.954	 -65.053	 62.6946	 111.104	 -62.4472	 55.7657	 99.3484	 -59.3158	 48.9014	 87.7026	 -55.6737	 42.1091	 76.179	 -51.5405	 35.3965	 64.7905	 -46.9293	 28.7705	 53.5492	 -41.8538	 22.2368	 42.4642	 -36.3334	 15.7994	 31.5427	 -30.3894	 9.46631	 20.7902	 -24.0383	 3.53115	 10.199	 -17.062	 1.5	 2.598	 -10.0003	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2942.18	 9549.93	 19390.7	 32054.8	 46457.6	 61355.6	 75754.6	 89084.8	 101295	 0	 
0.4	 133.5	 231.23	 -70	 126.4	 219.185	 -70.0025	 119.3	 207.139	 -70.0025	 112.199	 195.092	 -70.0025	 105.097	 183.043	 -70.0025	 97.9944	 170.992	 -70.0023	 90.8914	 158.942	 -69.7324	 83.8029	 146.915	 -68.7628	 76.738	 134.929	 -67.2427	 69.7077	 123.002	 -65.1765	 62.7225	 111.151	 -62.574	 55.793	 99.3947	 -59.4459	 48.9281	 87.7478	 -55.8071	 42.135	 76.2229	 -51.6774	 35.4217	 64.8333	 -47.0689	 28.7954	 53.5913	 -41.9954	 22.2611	 42.5055	 -36.4773	 15.8234	 31.5831	 -30.536	 9.50207	 20.8284	 -24.1777	 3.82472	 10.2366	 -16.9919	 1.5	 2.598	 -10.0009	 0	 0	 0	 0	 0	 0	 0	 0	 0	 11913	 19875.1	 27613.3	 35167.4	 42685	 50275.9	 57953	 65676.5	 73420	 81421.9	 0	 
0.5	 133.5	 231.23	 -70	 126.404	 219.191	 -70.0025	 119.307	 207.151	 -70.0025	 112.209	 195.108	 -70.0025	 105.11	 183.064	 -70.0025	 98.0085	 171.016	 -70.0024	 90.9053	 158.965	 -69.903	 83.8166	 146.939	 -68.9348	 76.7502	 134.95	 -67.4161	 69.7188	 123.021	 -65.3504	 62.7334	 111.17	 -62.7485	 55.8037	 99.4128	 -59.6212	 48.9384	 87.7654	 -55.9833	 42.145	 76.2399	 -51.8548	 35.4315	 64.8499	 -47.2467	 28.8049	 53.6075	 -42.173	 22.2705	 42.5213	 -36.6553	 15.8329	 31.5982	 -30.7141	 9.53654	 20.84	 -24.3362	 4.11921	 10.2616	 -16.9323	 1.5	 2.598	 -10.0018	 0	 0	 0	 0	 0	 0	 0	 0	 18843.1	 25846.4	 33191	 40868.6	 48812.1	 56910.3	 65064.4	 73241.9	 81496.5	 89950.2	 99156.1	 0	 
0.6	 133.5	 231.23	 -70	 126.405	 219.193	 -70.0025	 119.309	 207.154	 -70.0025	 112.212	 195.114	 -70.0025	 105.113	 183.069	 -70.0025	 98.0112	 171.021	 -70.0025	 90.9067	 158.967	 -70.0051	 83.8122	 146.931	 -69.1462	 76.7451	 134.941	 -67.6264	 69.7138	 123.012	 -65.5592	 62.7285	 111.161	 -62.956	 55.7989	 99.4047	 -59.8275	 48.9338	 87.7576	 -56.1886	 42.1405	 76.2323	 -52.0592	 35.4272	 64.8426	 -47.4499	 28.8009	 53.6006	 -42.3747	 22.2666	 42.5147	 -36.8558	 15.8308	 31.5914	 -30.9125	 9.58021	 20.8282	 -24.4977	 4.40774	 10.2786	 -16.8803	 1.5	 2.598	 -10.0031	 0	 0	 0	 0	 0	 0	 0	 15911.8	 21510.1	 27494.4	 34098.7	 41601.4	 50132.5	 59551.2	 69491.5	 79525.5	 89336.3	 98837.1	 108741	 0	 
0.7	 133.5	 231.23	 -70	 126.404	 219.192	 -70.0025	 119.308	 207.152	 -70.0025	 112.209	 195.109	 -70.0025	 105.108	 183.062	 -70.0025	 98.0042	 171.009	 -70.0025	 90.8962	 158.95	 -70.0033	 83.7939	 146.9	 -69.3835	 76.7267	 134.91	 -67.8618	 69.6955	 122.981	 -65.7916	 62.7103	 111.13	 -63.1855	 55.7808	 99.374	 -60.0543	 48.9159	 87.7271	 -56.4129	 42.1228	 76.2023	 -52.2809	 35.4098	 64.8132	 -47.6689	 28.784	 53.572	 -42.5911	 22.2502	 42.4868	 -37.0699	 15.819	 31.5635	 -31.1216	 9.63853	 20.7937	 -24.6502	 4.67565	 10.2861	 -16.8379	 1.5	 2.598	 -10.0045	 0	 0	 0	 0	 0	 0	 24743.2	 29764.8	 35433.4	 41595.4	 48173.6	 55018.2	 61952.5	 68861.5	 75750	 82727.4	 89950.7	 97619.2	 106529	 0	 
0.8	 133.5	 231.23	 -70	 126.401	 219.186	 -70.0025	 119.301	 207.14	 -70.0025	 112.198	 195.09	 -70.0025	 105.092	 183.034	 -70.0025	 97.9827	 170.972	 -70.0025	 90.8732	 158.911	 -70.0026	 83.7663	 146.853	 -69.6338	 76.6989	 134.863	 -68.1118	 69.6679	 122.934	 -66.0381	 62.6829	 111.084	 -63.4283	 55.7538	 99.3281	 -60.2937	 48.8892	 87.6818	 -56.6492	 42.0966	 76.1577	 -52.514	 35.3841	 64.7695	 -47.8985	 28.7588	 53.5292	 -42.8177	 22.2259	 42.4449	 -37.2934	 15.803	 31.521	 -31.3368	 9.7165	 20.7434	 -24.7896	 4.91306	 10.2857	 -16.8122	 1.5	 2.598	 -10.0063	 0	 0	 0	 0	 41615.4	 42965.2	 41731.4	 42013.2	 44815.3	 49285.9	 54816.9	 61025.7	 67665.6	 74542.2	 81504.6	 88471.6	 95461.9	 102687	 111034	 0	 
0.9	 133.5	 231.23	 -70	 126.392	 219.171	 -70.0025	 119.283	 207.11	 -70.0025	 112.173	 195.048	 -70.0025	 105.063	 182.985	 -70.0025	 97.9536	 170.923	 -70.0025	 90.8438	 158.861	 -70.0024	 83.7344	 146.799	 -69.8858	 76.6664	 134.808	 -68.3698	 69.6354	 122.879	 -66.2923	 62.6506	 111.029	 -63.6788	 55.7216	 99.2736	 -60.5405	 48.8573	 87.6278	 -56.8926	 42.0651	 76.1044	 -52.7538	 35.3532	 64.7171	 -48.1348	 28.7284	 53.4777	 -43.0507	 22.1967	 42.3942	 -37.523	 15.7882	 31.4686	 -31.554	 9.81676	 20.6838	 -24.9131	 5.11525	 10.279	 -16.8067	 1.5	 2.598	 -10.0082	 0	 40585.4	 68834.5	 70785.5	 70609.6	 68159	 65475	 64492.4	 66054.3	 68908.6	 72254.8	 75692.1	 79249.2	 83193.8	 87800.6	 93199.1	 99359.1	 106305	 114532	 0	 
1	 133.5	 231.23	 -70	 126.389	 219.165	 -70.0025	 119.277	 207.1	 -70.0025	 112.166	 195.035	 -70.0025	 105.054	 182.97	 -70.0025	 97.9428	 170.905	 -70.0025	 90.8314	 158.84	 -70.0025	 83.72	 146.775	 -70.0046	 76.6429	 134.768	 -68.6296	 69.6104	 122.837	 -66.5504	 62.6243	 110.984	 -63.9339	 55.6943	 99.2273	 -60.7927	 48.8292	 87.58	 -57.1419	 42.0364	 76.0556	 -52.9996	 35.3241	 64.6677	 -48.3772	 28.6992	 53.4279	 -43.2901	 22.1688	 42.344	 -37.7585	 15.7821	 31.4141	 -31.7715	 9.94108	 20.6246	 -25.0213	 5.28104	 10.27	 -16.826	 1.5	 2.598	 -10.0104	 206569	 206019	 205320	 204885	 204732	 204426	 203305	 201671	 197822	 192078	 184268	 175090	 165776	 157533	 151063	 146484	 143598	 142437	 143547	 0	 
