Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 
0	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4894	 170.589	 -70.0025	 91.4873	 158.461	 -70.0025	 84.4851	 146.333	 -70.0025	 77.483	 134.205	 -70.0025	 70.4809	 122.077	 -70.0013	 63.4843	 109.959	 -69.4418	 56.5351	 97.9221	 -67.7243	 49.6789	 86.0467	 -64.8798	 42.9564	 74.403	 -60.9609	 36.401	 63.0486	 -56.0382	 30.0373	 52.0263	 -50.1949	 23.8834	 41.3675	 -43.5122	 17.9505	 31.0913	 -36.0729	 12.2434	 21.2062	 -27.9575	 6.76146	 11.7112	 -19.2427	 1.5	 2.598	 -10	 179535	 179534	 179531	 179528	 179522	 179516	 179508	 179499	 179489	 179621	 180830	 183265	 186884	 191621	 197390	 204102	 211670	 220006	 229026	 238647	 
0.1	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4894	 170.59	 -70.0025	 91.4873	 158.461	 -70.0025	 84.4852	 146.333	 -70.0025	 77.483	 134.205	 -70.0025	 70.4809	 122.077	 -70.0013	 63.4844	 109.959	 -69.4418	 56.5351	 97.9221	 -67.7244	 49.679	 86.0469	 -64.8792	 42.9565	 74.4033	 -60.9601	 36.401	 63.0486	 -56.0381	 30.0374	 52.0265	 -50.1944	 23.8836	 41.3678	 -43.5115	 17.9504	 31.0911	 -36.0732	 12.2434	 21.2061	 -27.9575	 6.76133	 11.7109	 -19.243	 1.5	 2.598	 -10	 179162	 179161	 179160	 179158	 179156	 179153	 179150	 179146	 179142	 179280	 180495	 182935	 186559	 191298	 197068	 203781	 211348	 219684	 228703	 238324	 
0.2	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4895	 170.59	 -70.0025	 91.4874	 158.462	 -70.0025	 84.4853	 146.333	 -70.0025	 77.4831	 134.205	 -70.0025	 70.481	 122.077	 -70.0013	 63.4845	 109.959	 -69.4421	 56.5353	 97.9224	 -67.7245	 49.6792	 86.0473	 -64.8785	 42.9568	 74.4037	 -60.9592	 36.4011	 63.0489	 -56.0381	 30.0376	 52.0269	 -50.194	 23.8839	 41.3683	 -43.511	 17.9504	 31.0911	 -36.0735	 12.2434	 21.2062	 -27.9578	 6.76124	 11.7108	 -19.2437	 1.5	 2.598	 -10.0005	 178248	 178207	 178133	 178043	 177956	 177893	 177869	 177887	 177944	 178164	 179466	 181979	 185655	 190425	 196211	 202932	 210501	 218836	 227855	 237474	 
0.3	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4896	 170.59	 -70.0025	 91.4875	 158.462	 -70.0025	 84.4854	 146.334	 -70.0025	 77.4833	 134.206	 -70.0025	 70.4812	 122.078	 -70.0013	 63.4847	 109.959	 -69.4429	 56.5355	 97.9228	 -67.7248	 49.6795	 86.0479	 -64.8782	 42.9571	 74.4043	 -60.9588	 36.4013	 63.0492	 -56.0386	 30.0379	 52.0273	 -50.1942	 23.8842	 41.3688	 -43.5111	 17.9506	 31.0914	 -36.074	 12.2435	 21.2064	 -27.9586	 6.76114	 11.7106	 -19.245	 1.5	 2.598	 -10.0016	 176831	 176761	 176636	 176482	 176336	 176231	 176196	 176243	 176363	 176675	 178084	 180707	 184485	 189345	 195212	 202002	 209627	 218003	 227049	 236683	 
0.4	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4896	 170.59	 -70.0025	 91.4875	 158.462	 -70.0025	 84.4855	 146.334	 -70.0025	 77.4834	 134.206	 -70.0025	 70.4813	 122.078	 -70.0013	 63.4848	 109.959	 -69.4448	 56.5356	 97.923	 -67.7259	 49.6797	 86.0482	 -64.8787	 42.9574	 74.4047	 -60.9594	 36.4014	 63.0494	 -56.0398	 30.038	 52.0276	 -50.1952	 23.8844	 41.3692	 -43.512	 17.9508	 31.0918	 -36.075	 12.2435	 21.2063	 -27.9602	 6.76097	 11.7103	 -19.2471	 1.5	 2.598	 -10.0033	 176036	 175944	 175778	 175571	 175366	 175207	 175129	 175147	 175254	 175564	 176978	 179605	 183384	 188239	 194099	 200881	 208498	 216868	 225907	 235536	 
0.5	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4896	 170.59	 -70.0025	 91.4876	 158.462	 -70.0025	 84.4855	 146.334	 -70.0025	 77.4834	 134.206	 -70.0025	 70.4814	 122.078	 -70.0013	 63.4848	 109.959	 -69.4479	 56.5357	 97.9231	 -67.7282	 49.6798	 86.0484	 -64.8804	 42.9575	 74.4048	 -60.9612	 36.4014	 63.0494	 -56.042	 30.0381	 52.0277	 -50.1973	 23.8845	 41.3692	 -43.5141	 17.951	 31.0921	 -36.0768	 12.2433	 21.206	 -27.9629	 6.76068	 11.7098	 -19.2501	 1.5	 2.598	 -10.0057	 175547	 175460	 175305	 175114	 174930	 174796	 174747	 174798	 174939	 175283	 176732	 179396	 183206	 188088	 193970	 200772	 208404	 216784	 225829	 235462	 
0.6	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4896	 170.59	 -70.0025	 91.4875	 158.462	 -70.0025	 84.4854	 146.334	 -70.0025	 77.4834	 134.206	 -70.0025	 70.4813	 122.078	 -70.0013	 63.4846	 109.959	 -69.4521	 56.5355	 97.9229	 -67.7317	 49.6798	 86.0483	 -64.8834	 42.9573	 74.4046	 -60.9644	 36.4013	 63.0492	 -56.0452	 30.0379	 52.0274	 -50.2005	 23.8843	 41.369	 -43.5173	 17.951	 31.0921	 -36.0794	 12.243	 21.2055	 -27.9666	 6.76027	 11.7091	 -19.2538	 1.5	 2.598	 -10.0085	 176290	 176209	 176063	 175882	 175705	 175572	 175514	 175543	 175654	 175958	 177366	 179997	 183776	 188631	 194491	 201274	 208892	 217259	 226295	 235925	 
0.7	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4895	 170.59	 -70.0025	 91.4874	 158.462	 -70.0025	 84.4853	 146.334	 -70.0025	 77.4832	 134.206	 -70.0025	 70.4811	 122.077	 -70.0013	 63.4843	 109.959	 -69.4568	 56.5353	 97.9224	 -67.7362	 49.6795	 86.0478	 -64.8875	 42.957	 74.4041	 -60.9687	 36.4011	 63.0488	 -56.0491	 30.0376	 52.0269	 -50.2047	 23.884	 41.3685	 -43.5214	 17.9509	 31.092	 -36.0828	 12.2425	 21.2047	 -27.9709	 6.75983	 11.7083	 -19.2582	 1.5	 2.598	 -10.0118	 177685	 177611	 177477	 177309	 177141	 177008	 176937	 176940	 177011	 177264	 178621	 181211	 184956	 189784	 195622	 202390	 209997	 218356	 227386	 237015	 
0.8	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.492	 182.718	 -70.0025	 98.4894	 170.59	 -70.0025	 91.4873	 158.461	 -70.0025	 84.4852	 146.333	 -70.0025	 77.4831	 134.205	 -70.0025	 70.481	 122.077	 -70.0013	 63.4841	 109.958	 -69.4612	 56.535	 97.9219	 -67.7412	 49.6792	 86.0473	 -64.8923	 42.9567	 74.4036	 -60.9737	 36.4008	 63.0484	 -56.0535	 30.0373	 52.0263	 -50.2094	 23.8837	 41.3679	 -43.5261	 17.9507	 31.0917	 -36.0869	 12.2421	 21.2039	 -27.9757	 6.75946	 11.7077	 -19.2627	 1.5	 2.598	 -10.0155	 178964	 178898	 178779	 178629	 178478	 178358	 178292	 178290	 178346	 178576	 179908	 182483	 186219	 191043	 196882	 203651	 211262	 219625	 228658	 238289	 
0.9	 133.5	 231.23	 -70	 126.498	 219.102	 -70.0025	 119.496	 206.974	 -70.0025	 112.494	 194.846	 -70.0025	 105.491	 182.718	 -70.0025	 98.4894	 170.589	 -70.0025	 91.4873	 158.461	 -70.0025	 84.4851	 146.333	 -70.0025	 77.483	 134.205	 -70.0025	 70.4809	 122.077	 -70.0013	 63.4839	 109.958	 -69.4646	 56.5347	 97.9214	 -67.7461	 49.6789	 86.0468	 -64.8973	 42.9564	 74.403	 -60.9788	 36.4006	 63.048	 -56.0579	 30.037	 52.0258	 -50.2143	 23.8834	 41.3674	 -43.5309	 17.9506	 31.0914	 -36.0914	 12.2418	 21.2034	 -27.9805	 6.75929	 11.7074	 -19.2672	 1.5	 2.598	 -10.0195	 179794	 179727	 179606	 179451	 179293	 179159	 179073	 179045	 179069	 179260	 180553	 183094	 186800	 191600	 197418	 204169	 211766	 220119	 229144	 238774	 
