Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
0	 238604	 238637	 238637	 -267	 0	 0	 
0.1	 238267	 238305	 238305	 -267	 0	 0	 
0.2	 237434	 237472	 237472	 -267	 0	 0	 
0.3	 236635	 236667	 236667	 -267	 0	 0	 
0.4	 235551	 235574	 235574	 -267	 0	 0	 
0.5	 235543	 235559	 235559	 -267	 0	 0	 
0.6	 236023	 236035	 236035	 -267	 0	 0	 
0.7	 237136	 237152	 237152	 -267	 0	 0	 
0.8	 238371	 238396	 238396	 -267	 0	 0	 
0.9	 238805	 238839	 238839	 -267	 0	 0	 
1	 238564	 238605	 238605	 -267	 0	 0	 
1.1	 237446	 237487	 237487	 -267	 0	 0	 
1.2	 236071	 236105	 236105	 -267	 0	 0	 
1.3	 235127	 235152	 235152	 -267	 0	 0	 
1.4	 234883	 234898	 234898	 -267	 0	 0	 
1.5	 235591	 235603	 235603	 -267	 0	 0	 
1.6	 236768	 236783	 236783	 -267	 0	 0	 
1.7	 237857	 237880	 237880	 -267	 0	 0	 
1.8	 238362	 238395	 238395	 -267	 0	 0	 
1.9	 237953	 237992	 237992	 -267	 0	 0	 
2	 236881	 236919	 236919	 -267	 0	 0	 
2.1	 235582	 235614	 235614	 -267	 0	 0	 
2.2	 234628	 234650	 234650	 -267	 0	 0	 
2.3	 234427	 234440	 234440	 -267	 0	 0	 
2.4	 234957	 234966	 234966	 -267	 0	 0	 
2.5	 235917	 235929	 235929	 -267	 0	 0	 
2.6	 236770	 236789	 236789	 -267	 0	 0	 
2.7	 237060	 237089	 237089	 -267	 0	 0	 
2.8	 236633	 236667	 236667	 -267	 0	 0	 
2.9	 235649	 235682	 235682	 -267	 0	 0	 
3	 234555	 234582	 234582	 -267	 0	 0	 
3.1	 233816	 233833	 233833	 -267	 0	 0	 
3.2	 233710	 233720	 233720	 -267	 0	 0	 
3.3	 234213	 234220	 234220	 -267	 0	 0	 
3.4	 234992	 235002	 235002	 -267	 0	 0	 
3.5	 235605	 235622	 235622	 -267	 0	 0	 
3.6	 235694	 235719	 235719	 -267	 0	 0	 
3.7	 235160	 235189	 235189	 -267	 0	 0	 
3.8	 234207	 234237	 234237	 -267	 0	 0	 
3.9	 233224	 233249	 233249	 -267	 0	 0	 
4	 232601	 232620	 232620	 -267	 0	 0	 
4.1	 232541	 232555	 232555	 -267	 0	 0	 
4.2	 232967	 232981	 232981	 -267	 0	 0	 
4.3	 233578	 233598	 233598	 -267	 0	 0	 
4.4	 233994	 234023	 234023	 -267	 0	 0	 
4.5	 233950	 233988	 233988	 -267	 0	 0	 
4.6	 233413	 233458	 233458	 -267	 0	 0	 
4.7	 232592	 232638	 232638	 -267	 0	 0	 
4.8	 231825	 231870	 231870	 -267	 0	 0	 
